PART_ID,Block_no,Trial_no,Block_type,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
M20,1,1,PS,training,10,↑,up,↑,0.9055763000033039,True,30
M20,1,2,PS,training,10,←,left,←,0.9089337999976124,True,30
M20,1,3,PS,training,10,↑,up,↑,0.8912349000020185,True,30
M20,1,4,PS,training,10,↓,up,↑,0.8315263000004052,False,30
M20,2,5,AS,training,10,↑,up,↑,0.686509200000728,True,18
M20,2,6,AS,training,10,↑,left,←,0.9322687000021688,False,18
M20,1,7,PS,train,60,↑,up,↑,0.6371003999993263,True,15
M20,1,8,PS,train,60,→,right,→,0.7360856999985117,True,15
M20,1,9,PS,exp,60,↑,up,↑,0.6703563000010035,True,10
M20,1,10,PS,exp,30,↓,down,↓,0.573667699998623,True,10
M20,1,11,PS,exp,30,←,right,→,0.6356204000003345,False,9
M20,1,12,PS,exp,60,↓,down,↓,0.6384791000018595,True,10
M20,2,13,AS,train,30,↑,up,↑,1.121487000000343,True,22
M20,2,14,AS,train,60,↓,up,↑,0.6826483000004373,False,22
M20,2,15,AS,exp,60,↑,up,↑,1.600569700000051,True,15
M20,2,16,AS,exp,30,↓,up,↑,0.8247406000009505,False,15
